iter	Passed	Remaining
0	1	150
1	2	134
2	4	141
3	5	130
4	6	125
5	7	119
6	8	114
7	9	111
8	10	107
9	11	105
10	12	104
11	13	101
12	15	101
13	16	102
14	18	103
15	19	101
16	20	99
17	21	97
18	22	95
19	23	93
20	24	92
21	25	90
22	26	88
23	27	87
24	28	86
25	30	87
26	32	86
27	33	85
28	34	83
29	35	82
30	36	80
31	37	79
32	38	78
33	39	76
34	40	75
35	41	74
36	43	73
37	44	73
38	45	71
39	46	70
40	47	68
41	48	67
42	49	66
43	50	64
44	51	62
45	52	61
46	53	60
47	54	59
48	56	58
49	57	57
50	59	56
51	60	55
52	61	54
53	61	52
54	63	51
55	64	50
56	65	49
57	66	47
58	67	46
59	68	45
60	69	44
61	71	43
62	72	42
63	73	41
64	74	40
65	76	39
66	77	37
67	78	36
68	78	35
69	79	34
70	81	33
71	82	32
72	86	32
73	88	30
74	89	29
75	90	28
76	91	27
77	92	26
78	93	24
79	94	23
80	96	22
81	99	21
82	101	20
83	103	19
84	104	18
85	105	17
86	107	16
87	108	14
88	109	13
89	111	12
90	113	11
91	114	9
92	115	8
93	116	7
94	117	6
95	118	4
96	119	3
97	120	2
98	121	1
99	122	0
